Point,AFTDIA,AFTBF,*FWDDIA,*FWDBF
536,0.0055,-0.0001,0.0003,0.0009
537,0.0055,-0.0001,0.0003,0.0009
538,0.0055,-0.0001,0.0003,0.0009
539,0.0055,-0.0001,0.0003,0.0009
540,0.0055,-0.0001,0.0003,0.0009
541,0.0055,-0.0001,0.0002,0.0010
542,0.0055,-0.0001,0.0002,0.0010
543,0.0055,-0.0001,0.0002,0.0010
544,0.0055,-0.0001,0.0002,0.0010
545,0.0055,0.0000,0.0002,0.0010
546,0.0055,0.0000,0.0001,0.0010
547,0.0055,0.0000,0.0001,0.0010
548,0.0055,0.0000,0.0001,0.0010
549,0.0055,0.0000,0.0001,0.0010
550,0.0055,0.0000,0.0000,0.0010
551,0.0055,0.0000,0.0000,0.0010
552,0.0055,0.0000,0.0000,0.0010
553,0.0055,0.0000,-0.0001,0.0010
554,0.0055,0.0000,-0.0001,0.0010
555,0.0055,0.0000,-0.0001,0.0010
556,0.0055,0.0000,-0.0002,0.0010
557,0.0055,0.0000,-0.0002,0.0010
558,0.0055,0.0000,-0.0002,0.0010
559,0.0054,0.0000,-0.0003,0.0010
560,0.0054,0.0000,-0.0003,0.0010
561,0.0054,0.0000,-0.0004,0.0010
562,0.0054,0.0000,-0.0004,0.0011
563,0.0054,0.0000,-0.0005,0.0011
564,0.0054,0.0000,-0.0005,0.0011
565,0.0054,0.0000,-0.0005,0.0011
566,0.0054,0.0000,-0.0006,0.0011
567,0.0054,0.0000,-0.0006,0.0011
568,0.0054,0.0000,-0.0007,0.0011
569,0.0054,0.0000,-0.0007,0.0011
570,0.0054,0.0000,-0.0008,0.0011
571,0.0054,0.0000,-0.0008,0.0011
572,0.0054,0.0000,-0.0008,0.0011
573,0.0054,0.0000,-0.0009,0.0011
574,0.0054,0.0000,-0.0009,0.0011
575,0.0054,0.0000,-0.0009,0.0011
576,0.0053,0.0000,-0.0010,0.0011
577,0.0053,0.0000,-0.0010,0.0012
578,0.0053,0.0000,-0.0011,0.0012
579,0.0053,0.0000,-0.0011,0.0012
580,0.0053,0.0000,-0.0011,0.0012
581,0.0053,0.0000,-0.0012,0.0012
582,0.0053,0.0000,-0.0012,0.0012
583,0.0053,0.0000,-0.0012,0.0012
584,0.0053,0.0000,-0.0013,0.0012
585,0.0053,0.0000,-0.0013,0.0012
586,0.0053,0.0000,-0.0013,0.0012
587,0.0053,0.0000,-0.0014,0.0012
588,0.0053,0.0000,-0.0014,0.0012
